,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Employed,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTrans,WorkatHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Poverty,ChildPoverty,Unemployment
1867,New York,Putnam County,99464,49485,49979,13726.032000000001,79770.12800000001,2188.208,99.46400000000001,2188.208,0.0,73842,99608,2584,44063,1404,51775,21486.625,8646.425,12995.525,5488.15,3106.5,39038.350000000006,4659.75,4400.875,621.3,362.425,2744.075,39.2,40073.850000000006,8646.425,2847.625,155.325,4774.272,3978.56,5271.592
1868,New York,Queens County,2339280,1134031,1205249,654998.4,594177.12,402356.16,4678.56,587159.28,0.0,1413921,62008,471,28814,216,1142363,380406.87899999996,281021.298,266170.579,93673.766,122232.841,363271.434,76538.32100000001,590601.671,66257.05399999999,17135.445,29701.438000000002,43.5,915032.7629999999,156503.731,69684.143,1142.363,320481.36,425748.96,161410.32
1869,New York,Rensselaer County,159800,78800,81000,7350.8,134072.2,9428.2,0.0,3995.0,0.0,124423,63166,1695,33067,710,80468,32106.731999999996,13518.624000000002,19634.192,6678.844,8529.608,64937.67600000001,6759.312000000001,2414.04,2977.3160000000003,643.744,2735.9120000000003,24.4,59143.98,17542.024,3701.528,160.936,20134.8,31480.6,9268.4
1870,New York,Richmond County,475948,230325,245623,86622.536,295563.708,44739.112,475.94800000000004,39979.632000000005,0.0,336177,76244,1481,33922,471,212253,86386.97100000002,40964.829000000005,49242.695999999996,18466.011,17192.493,119073.933,16767.987,63463.64699999999,5306.325,2122.53,5306.325,44.0,158340.73799999998,44573.13,9126.878999999999,212.25300000000004,61397.292,85194.692,26177.14
1871,New York,Rockland County,325027,159227,165800,56229.671,205417.064,37378.105,325.027,19501.62,0.0,207456,88571,1624,36898,658,149868,66391.52399999999,28924.523999999998,34469.64,10041.155999999999,10041.155999999999,105357.204,16485.48,12888.648000000001,5095.512,2547.756,7493.4,31.0,117796.24799999999,23529.276,8392.608,0.0,46153.833999999995,79306.588,20476.700999999997
1872,New York,St. Lawrence County,110817,56381,54436,2548.7909999999997,102062.457,2437.974,775.7189999999999,1218.987,110.81700000000001,85770,48330,1867,23554,606,44013,15052.446000000002,9946.938,9418.782,5017.482,4577.352,33934.023,4313.274,220.065,2684.7929999999997,572.169,2244.663,20.9,30060.879,10563.12,3300.975,132.039,21498.498,32136.93,9751.896
1873,New York,Saratoga County,226632,111991,114641,6798.96,206008.488,3399.48,453.264,6345.696,0.0,174237,77548,1961,39653,722,117053,53610.274,16738.579,27507.455,9013.081,10183.610999999999,97388.09599999999,8778.975,936.4240000000001,2224.0069999999996,819.3709999999999,6906.127,25.3,90599.02200000001,20367.221999999998,5969.7029999999995,117.05300000000001,14957.712,17450.664,10425.072
1874,New York,Schenectady County,155239,75537,79702,10401.013,114566.382,14902.944,310.478,7140.993999999999,0.0,116371,61315,1710,29981,720,73044,27829.764,13951.404000000002,18918.395999999997,4893.948,7450.487999999999,59457.816000000006,5405.255999999999,2848.716,2118.276,949.572,2264.364,22.9,55878.66,14024.448,3140.8920000000003,0.0,19249.636000000002,30582.083,11332.447
1875,New York,Schoharie County,31611,15700,15911,948.33,29556.285,474.165,63.22200000000001,252.88800000000003,0.0,25591,51842,1978,26953,963,14198,4813.121999999999,2598.2340000000004,3166.1540000000005,1945.1259999999997,1675.3640000000003,11188.024,1235.2259999999999,156.178,837.6820000000001,113.58400000000002,667.306,29.7,9484.264,3364.926,1277.82,70.99,4393.929,5974.478999999999,2370.825
1876,New York,Schuyler County,18112,9076,9036,326.016,17260.735999999997,181.12,18.112000000000002,90.56,0.0,14402,47810,3060,25285,1261,8224,2878.4,1562.56,1636.5759999999998,904.64,1233.6,6422.9439999999995,1019.7760000000001,65.792,263.168,90.46400000000001,361.85600000000005,24.8,6118.656000000001,1291.168,805.9520000000001,8.224,2771.1360000000004,3712.96,1304.064
1877,New York,Seneca County,34843,18308,16535,1149.819,31114.799,1602.7779999999998,104.529,243.90099999999998,0.0,27600,51601,1402,26541,1032,15488,5111.04,2725.8880000000004,3701.6319999999996,1719.168,2214.784,12359.423999999999,1579.7759999999998,108.41599999999998,511.1039999999999,309.76,619.52,22.3,11585.024,2617.4719999999998,1270.0159999999998,15.488000000000001,4111.474,4947.706,1707.307
1878,New York,Steuben County,97539,48550,48989,1560.624,91491.582,1560.624,97.539,1463.085,0.0,74719,50157,1301,27731,772,43232,14828.576,7997.92,8732.864,4755.52,6873.888000000001,34369.44,4669.0560000000005,259.392,1858.976,648.48,1469.888,21.7,33202.176,6960.352000000001,2939.776,129.696,14143.155,20678.268,6827.73
1879,New York,Suffolk County,1497595,737373,760222,278552.67000000004,1025852.575,107826.84,1497.595,56908.61,0.0,1067524,92838,928,40277,382,744660,285949.44,128081.52,191377.62,69998.04,69998.04,593494.02,58083.48,47658.24,11169.9,8191.260000000001,26807.76,32.0,577111.5,131060.16000000002,35743.68,744.66,107826.84,140773.93,80870.13
1880,New York,Sullivan County,75783,38941,36842,11670.582,54942.675,5835.291,75.783,1212.528,0.0,56410,53877,2786,28224,1072,32610,10141.71,7402.47,7761.18,3717.54,3554.49,26446.71,2576.19,717.42,913.08,423.93,1532.67,30.6,23772.69,6652.44,2152.26,32.61,12049.497,17733.221999999998,7047.819
1881,New York,Tioga County,49322,24340,24982,887.796,47003.865999999995,295.93199999999996,0.0,394.5760000000001,0.0,38373,57153,2861,30252,1187,23012,8031.187999999999,4625.412,5108.664,2186.14,3060.5960000000005,19238.032,2232.1639999999998,207.108,437.22799999999995,299.156,598.312,23.0,18524.66,3290.7160000000003,1173.612,0.0,5524.063999999999,7496.9439999999995,3205.93
1882,New York,Tompkins County,104415,51397,53018,5011.92,80712.795,3758.94,208.83,10754.745,0.0,80091,56200,1682,29759,766,50390,25900.46,9019.81,9674.88,2872.23,2872.23,30889.07,4736.66,3275.35,7155.38,1108.5800000000002,3174.57,18.6,39707.32,6802.65,3728.86,100.78,21300.66,17437.305,5011.92
1883,New York,Ulster County,180129,89377,90752,17652.642000000003,143742.94199999998,9366.708,180.12900000000002,3782.7090000000003,180.12900000000002,141212,61652,1401,32453,717,86552,34274.592000000004,15839.016000000001,20426.272,8135.888000000001,7962.783999999999,67510.56,6577.951999999999,2077.248,3548.6319999999996,1211.7279999999998,5539.328,28.2,64048.48,15406.256000000001,6751.056,346.208,23777.028,28640.511000000002,12789.159
1884,New York,Warren County,64701,31717,32984,1552.8239999999998,60948.342000000004,711.711,129.40200000000002,647.01,64.70100000000001,51635,60222,1986,33127,1137,32518,11608.926000000001,6503.6,8096.982,2633.958,3642.0159999999996,26729.796000000002,2796.548,292.66200000000003,1073.094,520.288,1105.612,22.8,24388.5,5755.686,2373.814,32.518,6405.399,8411.13,3105.6479999999997
1885,New York,Washington County,62183,32148,30035,1616.7580000000003,57581.458,1803.3069999999998,124.366,310.915,0.0,49584,52527,2161,26064,781,28741,8076.221000000001,5690.718000000001,6696.653,3707.5890000000004,4627.301,23395.174000000003,2701.6540000000005,258.66900000000004,948.4529999999999,258.66900000000004,1178.3809999999999,26.2,21814.419000000005,4541.078,2270.539,86.223,7959.424,10882.025,4104.0779999999995
1886,New York,Wayne County,91442,45218,46224,3840.5640000000003,82480.68400000001,2651.8179999999998,91.44200000000001,640.0939999999999,91.44200000000001,70737,53693,1648,27318,690,43209,14431.805999999999,6697.395,10326.951,4623.363,7129.485,36554.814,3499.9289999999996,302.46299999999997,950.5980000000001,561.7170000000001,1382.688,24.9,34394.364,6567.767999999999,2203.659,86.418,10698.714,15453.697999999999,5852.2880000000005
1887,New York,Westchester County,975321,471874,503447,234077.04,530574.624,131668.335,975.321,56568.617999999995,0.0,642976,89968,1406,52049,570,479696,226896.20799999998,89223.45600000002,102175.248,32619.327999999998,28781.76,276304.896,38855.376,108890.992,23025.408,7195.44,24944.192000000003,34.1,381838.01599999995,66198.04800000001,31180.24,479.6960000000001,91680.174,114112.55699999999,63395.865
1888,New York,Wyoming County,40886,22032,18854,1349.2379999999998,36756.514,1962.5279999999998,163.544,163.544,0.0,32303,55459,2144,25635,1031,18372,5144.16,3417.192,4115.3279999999995,2774.172,2921.1479999999997,15358.992,1469.76,73.488,679.7640000000001,220.46399999999997,569.532,24.7,13779.0,3435.564,1102.32,55.11599999999999,4661.004,7032.392,2657.59
1889,New York,Yates County,25083,12069,13014,551.826,23803.767000000003,250.83,25.083000000000002,175.581,0.0,19160,51758,3135,26608,1378,11331,3467.2860000000005,2243.538,2334.186,1575.009,1710.981,7671.087,1110.438,33.992999999999995,917.8109999999999,464.57099999999997,1133.1,22.5,8350.947,1393.7130000000002,1439.0369999999998,135.97199999999998,3285.873,4740.687,1504.98
1890,North Carolina,Alamance County,157844,75078,82766,19414.812,102598.6,29832.515999999996,473.532,2367.66,0.0,113344,44281,1192,25157,738,73906,24388.98,12859.643999999998,16998.38,7612.318,11972.771999999999,62894.005999999994,6873.258000000001,147.812,960.778,812.966,2143.274,23.6,59863.86,9755.591999999999,4138.736,147.812,27780.544000000005,41197.28400000001,9470.64
1891,North Carolina,Alexander County,37159,18797,18362,1709.3139999999999,32328.33,2192.381,74.318,445.90799999999996,37.159,28548,44523,2886,22655,1043,16393,4393.3240000000005,2065.518,3376.9580000000005,1540.942,5032.651,13917.657000000001,1458.977,0.0,131.144,426.218,459.00399999999996,25.6,13638.976,1721.265,1016.3660000000001,32.786,5462.373,8769.524,2489.6530000000002
1892,North Carolina,Alleghany County,10935,5445,5490,1027.89,9546.255,262.44,10.935,21.87,0.0,8492,38944,2715,21153,1201,4447,1320.759,800.46,1005.0220000000002,680.3910000000001,640.368,3655.434,466.935,8.894,111.175,17.788,186.774,25.0,3139.5819999999994,751.5429999999999,551.428,8.894,2296.35,3849.120000000001,623.295
1893,North Carolina,Anson County,25531,13361,12170,970.1779999999999,11463.419,12408.066,76.59299999999999,306.37199999999996,0.0,19852,38123,3690,19105,1456,10153,2375.8019999999997,2101.6710000000003,1614.3270000000002,1228.513,2832.687,8721.427000000001,1076.218,0.0,162.448,50.765,142.142,27.8,7442.149,2233.66,456.885,20.306,5795.536999999999,7608.238,3421.1540000000005
1894,North Carolina,Ashe County,26833,13213,13620,1395.316,24820.525,214.66400000000002,107.33200000000001,107.33200000000001,0.0,21170,40293,2235,23650,1441,12174,3189.5879999999997,2739.15,2726.9759999999997,1704.36,1801.7520000000002,9727.026000000002,1619.142,0.0,146.088,170.43599999999998,499.13399999999996,26.5,9349.632,1631.316,1180.878,12.174000000000001,5205.602,7513.24,1690.479
1895,North Carolina,Avery County,17535,9573,7962,894.285,15606.15,736.47,87.675,105.21,0.0,14331,37109,3320,21704,2169,6778,2019.844,1741.9460000000001,1403.046,955.698,657.4659999999999,5327.507999999999,840.472,40.668,277.89799999999997,61.001999999999995,230.452,22.5,5307.174,894.6959999999999,549.0179999999999,27.112000000000002,2577.645,2980.95,964.425
