State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Employed,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTrans,WorkatHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Poverty,ChildPoverty,Unemployment
Alabama,4850771,2350806,2499965,198385,3197877,1280323,22671,61659,926,3651914,40271,2513,22180,1195,2055509,700402,341535,486835,197968,328261,1764923,175915,7460,22876,20721,63042,25,1624514,320525,106343,3905,871849,1258459,366302
Alaska,738565,386319,352246,50301,454526,22330,101633,44754,8646,530553,66425,5500,31670,2340,354045,130009,61186,80447,43609,38717,241406,43817,5298,28776,18812,15742,10,241717,89250,22129,709,75144,99936,59123
Arizona,6809946,3385055,3424891,2103443,3785517,277136,264780,208375,11879,4690177,45816,2159,22712,805,2953891,1054297,580215,766360,269572,285536,2263175,320998,58689,57731,76986,173850,21,2357823,411571,178504,3943,1154434,1633853,490949
Arkansas,2977944,1461651,1516293,213373,2174088,457312,17022,42027,6770,2183895,39025,2859,21449,1437,1276536,421471,216663,299241,133648,205610,1058709,134256,4661,22357,15631,41029,22,997809,198806,77564,2215,541298,769388,189390
California,38982847,19366579,19616268,15106298,14778217,2162560,138859,5430051,135141,24970109,61046,2232,30416,1022,17993915,6851451,3359128,4157519,1630886,1988512,13241749,1874326,937544,479743,458329,998319,25,14065256,2429116,1465746,33582,5893442,7890893,3028451
Colorado,5436519,2731315,2705204,1157255,3732129,210545,28541,161308,8206,3893361,54353,4014,29647,2427,2760076,1138298,476996,636687,257842,249771,2075469,251203,87470,78504,62201,204421,21,2209392,371345,174156,5128,627519,799819,290986
Connecticut,3594478,1754046,1840432,551634,2445050,350815,4407,154355,0,2599794,74496,1426,39419,692,1805086,767849,321701,413073,132934,169663,1411177,146212,88236,52207,20688,86689,25,1452157,234496,115009,2829,362157,485377,260836
Delaware,943732,456876,486856,84886,594704,201571,3010,36019,0,697329,61294,1284,31278,686,441513,175710,78844,103488,37397,46257,359401,35101,12361,9372,5043,19862,25,361061,62725,17203,519,114423,164942,60825
District of Columbia,672391,319046,353345,71945,242060,315351,1344,24878,0,503112,77649,1075,50832,645,357701,220701,54728,59736,9657,12877,121618,19315,126626,47216,22177,20388,30,253967,87994,15381,357,116996,171459,53791
Florida,20278447,9914361,10364086,5018436,11125455,3127564,43189,533912,8024,14461395,47144,2182,25265,1076,9018570,3121774,1832638,2407538,829093,826953,7167410,830290,182480,131091,198381,507008,25,7401784,1069670,532536,13542,3141410,4511752,1464051
Georgia,10201635,4968887,5232748,950783,5469991,3150604,18516,386750,3025,7155973,43268,3424,22305,1612,4606329,1687384,768146,1118149,418566,613707,3659735,461372,99370,69051,76755,240727,25,3668361,677406,253455,7274,1734498,2489062,769667
Hawaii,1421658,713981,707677,145317,315735,24275,1759,526234,130995,1016468,68663,3762,33930,2151,671758,229478,154050,167169,63817,57229,451746,91793,43743,30251,23033,31297,20,487621,136834,45699,1091,147143,183668,69070
Idaho,1657375,830627,826748,202237,1367881,10476,17866,22059,1974,1168167,46171,3816,23335,1778,748658,256451,133568,175656,88269,94395,588019,74298,5369,20333,16247,44380,21,579003,113082,54638,1957,240670,295653,89258
Illinois,12854526,6312600,6541926,2164387,7956874,1806111,15127,665544,645,9043520,52930,2697,27255,1258,6181653,2320896,1065994,1480996,447446,863694,4531756,493888,580203,187611,106934,280073,23,5149540,736506,287016,8884,1739958,2450979,947206
Indiana,6614418,3258279,3356139,442107,5280597,604159,12660,136589,1008,4850327,51877,2433,25817,1191,3124295,1037584,521859,709542,274650,580355,2593472,273988,32908,65379,44453,113816,23,2644709,333289,141229,4329,966918,1362279,403176
Iowa,3118102,1548035,1570067,178240,2697079,104219,8656,70622,2830,2302495,53436,2990,28497,1581,1599718,564542,263531,363179,151511,256943,1296196,134278,17409,54574,23398,73302,19,1282007,212438,102307,2887,374817,459847,129367
Kansas,2903820,1445980,1457840,334702,2220079,163648,18854,79741,1164,2069337,50022,4267,26215,1855,1420045,538254,234439,318350,137171,191672,1170063,128264,6595,33441,19676,61239,17,1111567,220185,85382,2475,373218,470388,139670
Kentucky,4424376,2179025,2245351,152237,3764145,348039,7881,59505,1321,3325139,41470,3282,22172,1532,1938150,645565,323306,456972,178876,333142,1593542,186459,20691,44291,26543,66413,24,1552313,279185,102945,3334,810163,1100505,308804
Louisiana,4663461,2281239,2382222,231931,2752252,1490453,24521,80209,620,3447638,42654,3072,22939,1358,2031238,672426,389619,481132,238007,249756,1678608,191861,26763,36417,40452,57628,26,1611895,302257,113840,2907,916393,1302662,337937
Maine,1330158,651040,679118,20551,1244811,16106,7820,14595,84,1055130,49680,1882,27791,934,658693,241382,120516,152846,70195,73750,516974,64124,4243,25856,10165,37259,23,511443,89818,56658,716,171773,222444,71160
Maryland,5996079,2906277,3089802,573474,3108923,1754667,10777,371258,1156,4248702,72541,2438,35127,982,3040792,1376447,521631,664205,236398,242062,2243191,278498,267495,72360,42012,137344,30,2227087,664420,145507,3606,584091,792357,370116
