State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Employed,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTrans,WorkatHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Poverty,ChildPoverty,Unemployment
Massachusetts,6789319,3293426,3495893,761088,4953125,453520,8979,424630,293,4931669,71030,2446,38478,1056,3525672,1597277,622939,761643,238416,305222,2491063,263997,359298,171056,69538,172130,24,2886800,427505,205361,4593,755845,1007351,408548
Michigan,9925568,4880579,5044989,484606,7493089,1358353,44859,287185,761,7435282,47530,1699,25595,893,4524874,1612913,803361,1039668,356012,712432,3734798,395833,64066,99346,57408,173237,22,3816198,477220,224002,7994,1546879,2140223,746828
Minnesota,5490726,2731831,2758895,284999,4434544,321125,51586,254836,588,4010716,57530,2544,29711,1141,2904103,1164972,478709,654572,231692,373450,2265580,247421,104527,79719,47718,157966,20,2403938,338533,156259,4303,576004,747358,236518
Mississippi,2986220,1448717,1537503,88093,1702272,1118613,12432,28723,297,2220809,37018,3243,20127,1640,1221828,384863,218484,283842,132340,202237,1039239,115025,4120,17366,19903,25954,25,931526,220984,67165,1932,643594,899716,267903
Missouri,6075300,2981332,3093968,244517,4849176,698165,22924,112162,5654,4567241,44435,2751,23019,1280,2867393,1029423,505886,694957,250501,386400,2348674,254960,42554,54563,35319,131067,23,2352563,349298,159305,5255,890044,1227995,355390
Montana,1029862,517860,512002,36490,891957,4168,64137,7228,468,794084,47746,4772,27103,2471,497995,181666,94410,111093,62505,48257,376207,48343,3819,25584,12115,31874,17,364853,87281,43854,1938,147746,176412,50485
Nebraska,1893921,943547,950374,197937,1511826,87062,12746,41770,1163,1350097,51928,4430,27940,2344,987216,363016,161860,231408,98373,132629,807303,90396,6630,26950,13094,42648,17,788209,135887,61305,1729,227214,294906,71775
Nevada,2887725,1450091,1437634,814666,1456803,242502,24509,228685,18119,1943710,56859,6400,28215,2405,1341358,381097,362083,343400,117126,137338,1048804,139555,46431,26816,28846,50895,21,1110821,160365,68691,1448,410996,585699,231186
New Hampshire,1331848,659131,672717,45547,1211299,16309,1788,33263,121,1034685,64901,2284,34212,967,713424,287729,113881,169868,62240,79544,577340,57120,6132,20043,9327,43545,25,571424,94351,46779,700,108558,135205,59735
New Jersey,8960161,4372321,4587840,1764304,5023740,1136185,7979,837418,679,6142332,77047,1512,38538,709,4388024,1829639,727347,1056140,312681,460835,3135880,351039,503890,131190,80206,184626,30,3588935,589068,203227,6410,957460,1356292,625473
New Mexico,2084828,1032086,1052742,1004177,796019,37065,181496,27714,1153,1471669,41197,3317,22967,2057,879201,313785,183041,205082,96914,80363,704621,86121,9677,18808,17425,42153,19,625124,194248,57894,1858,429594,599928,163811
New York,19798228,9604111,10194117,3725979,11076573,2844456,41237,1636533,1027,13741921,58309,1691,30045,771,9467631,3804355,1906426,2195563,683551,881042,5005377,624469,2677781,592943,182730,385923,25,7452696,1449290,553033,13406,2987128,4149951,1347090
North Carolina,10052564,4895368,5157196,914630,6397493,2127516,109345,266972,3358,7309766,44551,2310,24339,1134,4571020,1686509,797327,1054985,422605,609312,3713779,433880,48335,80595,58317,236443,24,3641770,659822,262385,6716,1625665,2317533,731065
North Dakota,745475,382121,363354,24831,638774,17041,38703,10020,191,560530,59795,5714,34084,3114,400454,144321,68271,87328,49850,50512,323942,35781,1995,14478,4827,19288,17,305999,62691,30494,1102,82241,88209,20616
Ohio,11609756,5686081,5923675,414003,9244378,1410297,15769,233996,1860,8761633,51742,1976,26332,915,5488180,1975082,952013,1276866,414087,870513,4578158,422449,89368,123016,62481,212012,24,4553734,661459,266141,7594,1734534,2499901,752823
Oklahoma,3896251,1930615,1965636,394607,2588723,278575,276822,79623,5750,2802583,46219,2744,23887,1373,1746419,594926,304866,416078,199522,231248,1443512,175057,7511,29879,23470,65998,21,1342974,291785,107479,3604,632382,874112,223964
Oregon,4025127,1993822,2031305,509228,3079196,72632,34789,164659,14557,2948763,48502,2853,26512,1382,1885983,719098,344219,432224,167151,223197,1348290,192567,84345,71427,64198,125071,19,1484420,257638,140748,3554,600091,769672,277950
Pennsylvania,12790505,6260160,6530345,874625,9880951,1357588,15085,413475,266,9740191,53281,1526,27757,732,6096977,2297091,1063449,1420484,498621,815863,4659388,514785,339816,229751,85173,267107,24,5143504,633484,310586,8806,1679688,2375250,833899
Puerto Rico,3468963,1653997,1814966,3432457,26129,2601,35,2445,17,2690457,18412,1615,10244,809,1040136,336642,215230,287259,96538,104426,853996,88003,22222,33165,19996,22650,27,713424,228951,96165,1579,1557395,1986048,611544
Rhode Island,1056138,512581,543557,153863,773167,57684,3956,35122,842,784492,69906,2080,38342,1026,526071,200223,103685,124159,39123,58933,419758,45465,13946,19703,6901,20091,24,434723,64403,26457,590,141653,194817,72288
South Carolina,4893444,2376759,2516685,266716,3120393,1321296,13111,71016,2970,3673580,42126,2125,22959,1039,2181046,734559,395325,531299,197606,321811,1803115,203786,12506,46431,32165,82560,25,1732808,331106,113904,3499,815358,1208160,359030
South Dakota,855444,430587,424857,29986,707252,14183,71034,11612,292,629704,50408,4226,27241,2516,438339,154251,74026,103950,49147,56710,350359,38784,2333,16380,5758,24429,16,336241,65201,35527,1358,119022,148810,34405
Tennessee,6597381,3217073,3380308,340351,4899128,1099798,14612,109570,2921,4916862,43016,2696,23161,1466,2996610,1029450,509265,725240,264278,468092,2503329,268602,21927,40499,37468,124294,26,2378964,408829,203141,4907,1101051,1611825,439989
Texas,27419612,13616977,13802635,10674355,11751358,3198836,69698,1224238,21537,17512737,49894,4842,24859,2163,12689069,4551411,2221673,3038291,1371775,1507889,10210301,1314818,188559,194986,210118,570089,22,10148892,1674416,844242,21634,4397312,6184697,1616080
Utah,2993941,1506614,1487327,409319,2365680,31917,27968,67283,26331,1942342,59208,4973,24433,1565,1412214,532564,217655,363218,123626,175740,1073739,160406,35419,35727,25691,81793,19,1139536,204783,65814,2071,329703,380285,131293
Vermont,624636,308026,316610,11235,582377,7415,1796,9555,126,493441,55252,2403,30572,1200,327264,133215,56885,69534,32712,34840,248273,28991,3954,18242,5398,22205,23,251433,46317,28693,790,70996,90594,27505
Virginia,8365952,4113988,4251964,749247,5238696,1575279,17201,516742,3689,6051620,56270,3639,28912,1719,4084035,1768368,686447,900689,341263,387719,3158488,378633,180599,98819,69787,197062,27,3058148,820049,200152,5636,946049,1308481,465638
Washington,7169967,3580888,3589079,882765,5001604,251283,79916,573578,45463,5081381,54112,2385,27839,1061,3418123,1378040,579432,745805,328044,385468,2469091,344142,217012,121931,70598,194987,22,2668142,543336,199857,6431,878322,1113121,437428
West Virginia,1836843,907621,929222,27116,1694764,64510,3119,13843,367,1446498,41701,3238,22859,1363,746958,245011,144458,176496,84503,96365,614156,72153,6377,21706,8460,24042,27,572968,139949,32973,844,326916,451139,134263
Wisconsin,5763217,2864115,2899102,380836,4715393,359818,46674,151657,672,4328520,53849,1797,28390,913,2939880,1043488,494850,662970,249117,488935,2377749,237923,54403,93857,48201,128103,21,2425502,358891,150187,5241,711520,947783,273763
Wyoming,583200,298301,284899,56663,491642,5759,11912,4912,385,432814,59065,4641,30665,2351,293633,98537,52277,60885,45264,36611,228051,30515,3979,11826,5563,13674,18,212774,61389,18524,901,65179,73517,27603
